reporterISO,partnerISO,period,cmdCode,qty,flowDesc,primaryValue
IT,USA,202502,24,45650564,Export,146504322
IT,USA,202503,24,28500494,Export,139814673
IT,USA,202504,24,28889327,Export,161662367
IT,USA,202505,24,27559961,Export,127691528
IT,USA,202506,24,22509564,Export,100719736
IT,USA,202507,24,37120425,Export,146875302
IT,USA,202508,24,14700929,Export,73468681
IT,USA,202509,24,12343972,Export,92957918
IT,USA,202510,24,29648511,Export,122667647
IT,USA,202511,24,24571382,Export,117897085
